college_team,college_conference,nfl_team,year,overall,round,pick,name,position,height,weight,season_before_draft,receiving_rec,receiving_yds,receiving_td,receiving_ypr,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,RAS,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Maryland,Big Ten,Minnesota,2015,146,5,10,Stefon Diggs,Wide Receiver,72,195,2014,62,792,5,12.8,12,7,5,1,0,1,5.66,4.46,NA,35,115,7.03,4.32,Y
Michigan State,Big Ten,Miami,2015,156,5,20,Tony Lippett,Wide Receiver,75,192,2014,65,1198,11,18.4,12,10,2,1,1,0,3.99,4.61,10,36,114,6.92,4.13,Y
UAB,Conference USA,Arizona,2015,159,5,23,J.J. Nelson,Wide Receiver,NA,156,2014,35,655,4,18.7,12,6,6,0,0,0,7.92,4.28,NA,36,127,7.02,4.15,Y
Nebraska,Big Ten,Tampa Bay,2015,162,5,26,Kenny Bell,Wide Receiver,73,197,2014,47,788,6,16.8,12,9,3,1,0,1,9.2,4.42,7,41.5,129,6.66,4.15,Y
Michigan State,Big Ten,Houston,2015,175,5,39,Keith Mumphery,Wide Receiver,72,215,2014,26,495,3,19,12,10,2,1,1,0,4.36,4.54,NA,32.5,121,7.07,4.25,Y
Utah,Pac-12,Tampa Bay,2015,184,6,8,Kaelin Clay,Wide Receiver,70,195,2014,43,523,4,12.2,12,8,4,1,1,0,2.18,4.51,10,33,113,6.97,4.26,Y
UConn,American Athletic,New York,2015,186,6,10,Geremy Davis,Wide Receiver,74,216,2014,44,521,3,11.8,12,2,10,0,0,0,9.66,4.49,23,36.5,124,6.86,4.18,Y
Ohio State,Big Ten,Washington,2015,187,6,11,Evan Spencer,Wide Receiver,73,208,2014,15,149,3,9.9,13,12,1,2,2,0,8.37,NA,NA,NA,NA,NA,NA,N
Missouri,SEC,Los Angeles,2015,201,6,25,Bud Sasser,Wide Receiver,75,219,2014,77,1003,12,13,13,10,3,1,1,0,7.45,NA,NA,NA,NA,NA,NA,N
Georgia Tech,ACC,Baltimore,2015,204,6,28,Darren Waller,Wide Receiver,78,238,2014,26,442,6,17,13,10,3,1,1,0,NA,4.46,12,37,125,7.07,4.25,Y
Florida,SEC,Las Vegas,2015,221,7,4,Andre Debose,Wide Receiver,72,190,2014,1,-3,0,-3,11,6,5,1,1,0,8.13,NA,NA,NA,NA,NA,NA,N
Northern Illinois,Mid-American,Kansas City,2015,233,7,16,Da'Ron Brown,Wide Receiver,72,205,2014,68,1065,6,15.7,13,11,2,1,0,1,NA,4.54,17,37,120,7.04,4.11,Y
West Virginia,Big 12,Cincinnati,2015,238,7,21,Mario Alford,Wide Receiver,69,180,2014,65,945,11,14.5,12,7,5,1,0,1,5.4,4.43,13,34,121,6.64,4.07,Y
Baylor,Big 12,Cleveland,2016,15,1,15,Corey Coleman,Wide Receiver,71,194,2015,74,1363,20,18.4,12,9,3,1,1,0,9.66,4.42,17,40.5,129,NA,NA,Y
TCU,Big 12,Washington,2016,22,1,22,Josh Doctson,Wide Receiver,74,202,2015,79,1327,14,16.8,12,10,2,1,1,0,9.41,4.5,14,41,131,6.84,4.08,Y
Ole Miss,SEC,Minnesota,2016,23,1,23,Laquon Treadwell,Wide Receiver,74,221,2015,82,1153,11,14.1,12,9,3,1,1,0,3.33,4.52,12,33,117,NA,NA,Y
Oklahoma,Big 12,New York,2016,40,2,9,Sterling Shepard,Wide Receiver,70,194,2015,86,1288,11,15,12,11,1,1,0,1,7.62,4.48,20,41,123,7,4.35,Y
Ohio State,Big Ten,New Orleans,2016,47,2,16,Michael Thomas,Wide Receiver,75,212,2015,56,781,9,13.9,12,11,1,1,1,0,9.11,4.57,18,35,126,6.8,4.13,Y
Pittsburgh,ACC,Cincinnati,2016,55,2,24,Tyler Boyd,Wide Receiver,74,197,2015,91,926,6,10.2,12,8,4,1,0,1,4.27,4.58,11,34,119,6.9,4.35,Y
Ohio State,Big Ten,Houston,2016,85,3,22,Braxton Miller,Wide Receiver,73,201,2015,26,341,3,13.1,12,11,1,1,1,0,8.59,4.5,17,35,123,6.65,4.07,Y
Rutgers,Big Ten,Miami,2016,86,3,23,Leonte Carroo,Wide Receiver,72,211,2015,39,809,10,20.7,12,4,8,0,0,0,6.96,4.5,14,35.5,120,NA,NA,Y
Cincinnati,American Athletic,Baltimore,2016,107,4,9,Chris Moore,Wide Receiver,73,206,2015,40,870,7,21.8,12,7,5,1,0,1,7.96,4.53,10,37,130,6.76,4.2,Y
Georgia,SEC,New England,2016,112,4,14,Malcolm Mitchell,Wide Receiver,72,198,2015,58,865,5,14.9,12,9,3,1,1,0,8.08,4.45,15,36,129,6.94,4.34,Y
Auburn,SEC,Cleveland,2016,114,4,16,Ricardo Louis,Wide Receiver,74,215,2015,46,716,3,15.6,12,6,6,1,1,0,9.23,4.43,18,38,132,NA,NA,Y
South Carolina,SEC,Los Angeles,2016,117,4,19,Pharoh Cooper,Wide Receiver,71,203,2015,66,973,8,14.7,12,3,9,0,0,0,2.06,4.52,15,31,115,NA,NA,Y
Florida,SEC,Kansas City,2016,126,4,28,Demarcus Robinson,Wide Receiver,73,203,2015,48,522,2,10.9,13,10,3,1,0,1,5.86,4.59,NA,34.5,123,6.77,4.19,Y
Massachusetts,Mid-American,Tennessee,2016,140,5,1,Tajae Sharpe,Wide Receiver,74,194,2015,111,1319,5,11.9,12,3,9,0,0,0,5.3,4.55,11,33.5,114,NA,NA,Y
UCLA,Pac-12,Cleveland,2016,154,5,15,Jordan Payton,Wide Receiver,73,207,2015,78,1106,5,14.2,12,8,4,1,0,1,6.84,4.47,NA,34.5,121,7.08,4.33,Y
California,Pac-12,Green Bay,2016,163,5,24,Trevor Davis,Wide Receiver,73,188,2015,40,672,2,16.8,12,7,5,1,1,0,9.14,4.42,11,38.5,124,6.6,4.22,Y
Colorado State,Mountain West,Cleveland,2016,172,5,33,Rashard Higgins,Wide Receiver,73,196,2015,75,1062,8,14.2,12,7,5,1,0,1,1.65,4.64,13,32,116,NA,NA,Y
Navy,American Athletic,Baltimore,2016,182,6,7,Keenan Reynolds,Wide Receiver,70,190,2015,1,47,0,47,12,10,2,1,1,0,4.55,NA,NA,NA,NA,NA,NA,N
Texas Tech,Big 12,Miami,2016,186,6,11,Jakeem Grant,Wide Receiver,66,165,2015,90,1268,10,14.1,12,7,5,1,0,1,6.39,NA,NA,NA,NA,NA,NA,N
TCU,Big 12,Buffalo,2016,192,6,17,Kolby Listenbee,Wide Receiver,72,197,2015,30,597,5,19.9,12,10,2,1,1,0,7.91,4.39,15,35.5,129,NA,NA,Y
Ole Miss,SEC,Cincinnati,2016,199,6,24,Cody Core,Wide Receiver,75,205,2015,37,644,4,17.4,12,9,3,1,1,0,7.38,4.47,14,31.5,119,NA,NA,Y
Southern Miss,Conference USA,Los Angeles,2016,206,6,31,Michael Thomas,Wide Receiver,73,193,2015,71,1391,14,19.6,13,9,4,1,0,1,9.11,NA,NA,NA,NA,NA,NA,N
Michigan State,Big Ten,San Francisco,2016,213,6,38,Aaron Burbridge,Wide Receiver,72,206,2015,85,1258,7,14.8,13,12,1,1,0,1,2.78,4.56,20,30.5,115,7.22,4.31,Y
Arizona State,Pac-12,New England,2016,225,7,4,Devin Lucien,Wide Receiver,73,201,2015,66,1074,8,16.3,12,6,6,1,0,1,6.68,NA,NA,NA,NA,NA,NA,N
Houston,American Athletic,Pittsburgh,2016,229,7,8,Demarcus Ayers,Wide Receiver,69,182,2015,98,1222,6,12.5,13,12,1,1,1,0,0.89,4.72,NA,33,123,NA,NA,Y
Western Michigan,Mid-American,Chicago,2016,230,7,9,Daniel Braverman,Wide Receiver,70,180,2015,108,1367,13,12.7,12,7,5,1,1,0,2.56,NA,NA,NA,NA,NA,NA,N
UCLA,Pac-12,Miami,2016,231,7,10,Thomas Duarte,Wide Receiver,74,231,2015,53,872,10,16.5,12,8,4,1,0,1,NA,4.72,12,33.5,118,6.97,4.24,Y
Clemson,ACC,New York,2016,241,7,20,Charone Peake,Wide Receiver,74,209,2015,50,716,5,14.3,13,13,0,2,1,1,5.76,4.45,12,35.5,122,6.96,4.46,Y
California,Pac-12,Seattle,2016,243,7,22,Kenny Lawler,Wide Receiver,75,203,2015,52,658,13,12.7,12,7,5,1,1,0,2.09,4.64,NA,31,111,7.13,4.2,Y
Western Michigan,Mid-American,Tennessee,2017,5,1,5,Corey Davis,Wide Receiver,75,209,2016,97,1500,19,15.5,13,13,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,Y
Clemson,ACC,Los Angeles,2017,7,1,7,Mike Williams,Wide Receiver,76,218,2016,98,1361,11,13.9,13,12,1,2,2,0,7.24,NA,15,32.5,121,NA,NA,Y
Washington,Pac-12,Cincinnati,2017,9,1,9,John Ross,Wide Receiver,71,188,2016,81,1150,17,14.2,13,12,1,1,0,1,9.5,4.22,NA,37,133,NA,NA,Y
Ohio State,Big Ten,Carolina,2017,40,2,8,Curtis Samuel,Wide Receiver,71,196,2016,74,865,7,11.7,12,11,1,1,0,1,7.45,4.31,18,37,119,7.09,4.33,Y
USC,Pac-12,Pittsburgh,2017,62,2,30,JuJu Smith-Schuster,Wide Receiver,73,215,2016,70,914,10,13.1,12,9,3,1,1,0,7.33,4.54,15,32.5,120,NA,NA,Y
Eastern Washington,Big Sky,Los Angeles,2017,69,3,5,Cooper Kupp,Wide Receiver,74,204,2016,12,206,3,17.2,13,12,1,1,0,1,5,4.62,NA,31,116,6.75,4.08,Y
Western Kentucky,Conference USA,Tennessee,2017,72,3,8,Taywan Taylor,Wide Receiver,71,203,2016,98,1730,17,17.7,13,10,3,1,1,0,8.7,4.5,13,33.5,132,6.57,4.21,Y
Alabama,SEC,New York,2017,79,3,15,ArDarius Stewart,Wide Receiver,71,204,2016,54,864,8,16,13,13,0,2,1,1,5.89,4.49,NA,34,124,NA,NA,Y
Louisiana Tech,Conference USA,Denver,2017,82,3,18,Carlos Henderson,Wide Receiver,71,199,2016,82,1535,19,18.7,13,8,5,1,1,0,5.75,4.46,13,36,131,7.18,4.35,Y
Penn State,Big Ten,Tampa Bay,2017,84,3,20,Chris Godwin,Wide Receiver,73,209,2016,59,982,11,16.6,13,11,2,1,0,1,9.66,4.42,19,36,126,7.01,4,Y
Northern Illinois,Mid-American,Detroit,2017,96,3,32,Kenny Golladay,Wide Receiver,76,218,2016,88,1164,8,13.2,12,5,7,0,0,0,8.94,4.5,18,35.5,120,7,4.15,Y
Grambling,SWAC,Arizona,2017,98,3,34,Chad Williams,Wide Receiver,73,207,2016,13,152,0,11.7,12,11,1,1,1,0,9.01,NA,NA,NA,NA,NA,NA,N
Michigan,Big Ten,Seattle,2017,106,3,42,Amara Darboh,Wide Receiver,74,214,2016,57,862,7,15.1,12,10,2,1,0,1,9.6,4.45,17,36,124,NA,NA,Y
Oklahoma,Big 12,Jacksonville,2017,110,4,3,Dede Westbrook,Wide Receiver,72,178,2016,80,1524,17,19.1,12,10,2,1,1,0,4.84,NA,NA,NA,NA,NA,NA,Y
Texas A&M,SEC,Los Angeles,2017,117,4,10,Josh Reynolds,Wide Receiver,75,194,2016,61,1039,12,17,12,8,4,1,0,1,9.1,4.52,NA,37,124,6.83,4.13,Y
North Carolina,ACC,Philadelphia,2017,118,4,12,Mack Hollins,Wide Receiver,76,221,2016,16,309,4,19.3,12,8,4,1,0,1,NA,4.53,NA,NA,NA,NA,NA,Y
Tennessee,SEC,Cincinnati,2017,128,4,22,Josh Malone,Wide Receiver,75,208,2016,50,972,11,19.4,12,8,4,1,1,0,7.03,4.4,10,30.5,121,7.05,4.19,Y
North Carolina,ACC,Dallas,2017,133,4,27,Ryan Switzer,Wide Receiver,69,181,2016,96,1112,6,11.6,12,8,4,1,0,1,4.83,4.51,11,32,116,6.77,4,Y
Michigan,Big Ten,Kansas City,2017,139,4,33,Jehu Chesson,Wide Receiver,75,204,2016,35,500,2,14.3,12,10,2,1,0,1,7.94,4.47,10,35.5,132,6.7,4.09,Y
California,Pac-12,New York,2017,141,4,35,Chad Hansen,Wide Receiver,74,202,2016,92,1249,11,13.6,12,5,7,0,0,0,7.39,4.53,11,35,119,6.74,4.13,Y
West Virginia,Big 12,Philadelphia,2017,166,5,22,Shelton Gibson,Wide Receiver,71,191,2016,43,951,8,22.1,12,10,2,1,0,1,3.98,4.5,8,32,118,6.83,4.2,Y
South Florida,American Athletic,Minnesota,2017,170,5,27,Rodney Adams,Wide Receiver,73,189,2016,67,822,5,12.3,12,10,2,1,1,0,6.02,4.44,8,29.5,125,6.98,4.28,Y
Georgia,SEC,Denver,2017,172,5,29,Isaiah McKenzie,Wide Receiver,68,173,2016,44,633,7,14.4,12,7,5,1,1,0,6.36,4.42,11,36,123,6.64,4.15,Y
Louisiana Tech,Conference USA,San Francisco,2017,177,5,34,Trent Taylor,Wide Receiver,68,181,2016,136,1803,12,13.3,13,8,5,1,1,0,4,4.63,13,33,117,6.74,4.01,Y
Georgia State,Sun Belt,Washington,2017,209,6,25,Robert Davis,Wide Receiver,75,219,2016,67,968,5,14.4,12,3,9,0,0,0,9.79,4.44,19,41,136,6.82,4.28,Y
Miami,ACC,Minnesota,2017,219,7,1,Stacy Coley,Wide Receiver,72,195,2016,63,754,9,12,12,8,4,1,1,0,4.46,4.45,10,34,122,NA,NA,Y
Virginia Tech,ACC,Miami,2017,237,7,19,Isaiah Ford,Wide Receiver,73,194,2016,79,1094,7,13.8,13,9,4,1,1,0,5.05,4.61,14,35.5,127,6.94,4.34,Y
Ohio State,Big Ten,Dallas,2017,239,7,21,Noah Brown,Wide Receiver,74,222,2016,32,402,7,12.6,12,11,1,1,0,1,6.88,NA,19,NA,NA,7.07,4.33,Y
LSU,SEC,Green Bay,2017,247,7,29,Malachi Dupre,Wide Receiver,75,196,2016,41,593,3,14.5,11,7,4,1,1,0,7.2,4.52,11,39.5,135,7.19,4.26,Y
Maryland,Big Ten,Carolina,2018,24,1,24,D.J. Moore,Wide Receiver,72,210,2017,80,1033,8,12.9,12,4,8,0,0,0,9.65,4.42,15,39.5,132,6.95,4.07,Y
Alabama,SEC,Atlanta,2018,26,1,26,Calvin Ridley,Wide Receiver,73,189,2017,63,967,5,15.3,12,11,1,2,2,0,5.12,4.43,15,31,110,6.88,4.41,Y
SMU,American Athletic,Denver,2018,40,2,8,Courtland Sutton,Wide Receiver,75,218,2017,68,1085,12,16,12,7,5,1,0,1,9.81,4.54,18,35.5,124,6.57,4.11,Y
Washington,Pac-12,San Francisco,2018,44,2,12,Dante Pettis,Wide Receiver,73,186,2017,63,761,7,12.1,12,10,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,Y
Texas A&M,SEC,Arizona,2018,47,2,15,Christian Kirk,Wide Receiver,70,201,2017,71,919,10,12.9,12,7,5,1,0,1,6.23,4.47,20,35.5,115,7.09,4.45,Y
Memphis,American Athletic,Chicago,2018,51,2,19,Anthony Miller,Wide Receiver,71,201,2017,96,1462,18,15.2,12,10,2,1,0,1,9.27,NA,22,NA,NA,NA,NA,Y
Oklahoma State,Big 12,Pittsburgh,2018,60,2,28,James Washington,Wide Receiver,71,213,2017,74,1549,13,20.9,12,9,3,1,1,0,5.55,4.54,14,34.5,120,7.11,4.32,Y
LSU,SEC,Jacksonville,2018,61,2,29,D.J. Chark,Wide Receiver,75,199,2017,40,874,3,21.9,12,9,3,1,0,1,9.94,4.34,16,40,129,NA,NA,Y
Colorado State,Mountain West,Dallas,2018,81,3,17,Michael Gallup,Wide Receiver,73,205,2017,100,1413,7,14.1,12,7,5,1,0,1,5.87,4.51,10,36,122,6.95,4.37,Y
UCF,American Athletic,New Orleans,2018,91,3,27,Tre'Quan Smith,Wide Receiver,74,210,2017,59,1171,13,19.8,12,12,0,1,1,0,6.85,NA,NA,NA,NA,NA,NA,N
Texas Tech,Big 12,Houston,2018,103,4,3,Keke Coutee,Wide Receiver,70,181,2017,93,1429,10,15.4,12,6,6,1,0,1,5.64,4.43,14,34.5,113,6.93,4.15,Y
Penn State,Big Ten,Denver,2018,113,4,13,DaeSean Hamilton,Wide Receiver,73,203,2017,53,857,9,16.2,12,10,2,1,1,0,8.09,NA,NA,34.5,118,6.84,4.15,Y
New Mexico State,Sun Belt,Baltimore,2018,132,4,32,Jaleel Scott,Wide Receiver,77,218,2017,76,1079,9,14.2,12,6,6,1,1,0,7.6,4.56,16,34.5,124,7.2,4.4,Y
Missouri,SEC,Green Bay,2018,133,4,33,J'Mon Moore,Wide Receiver,75,207,2017,65,1082,10,16.6,12,7,5,1,0,1,8.43,NA,NA,NA,NA,NA,NA,N
Northern Iowa,MVFC,Indianapolis,2018,159,5,22,Daurice Fountain,Wide Receiver,74,209,2017,3,30,0,10,13,8,5,0,0,0,7.98,NA,NA,NA,NA,NA,NA,N
UCLA,Pac-12,Baltimore,2018,162,5,25,Jordan Lasley,Wide Receiver,73,203,2017,69,1264,9,18.3,12,6,6,1,0,1,4.47,4.5,8,34.5,112,NA,4.19,Y
South Florida,American Athletic,Green Bay,2018,174,5,37,Marquez Valdes-Scantling,Wide Receiver,76,206,2017,53,879,6,16.6,11,9,2,1,1,0,9.26,4.37,15,30.5,124,NA,NA,Y
Texas A&M,SEC,Cleveland,2018,175,6,1,Damion Ratley,Wide Receiver,74,193,2017,30,694,6,23.1,12,7,5,1,0,1,9.02,NA,NA,NA,NA,NA,NA,N
Clemson,ACC,Indianapolis,2018,185,6,11,Deon Cain,Wide Receiver,74,202,2017,58,734,6,12.7,13,12,1,1,0,1,6.47,4.43,11,33.5,115,6.71,4.37,Y
Clemson,ACC,Buffalo,2018,187,6,13,Ray-Ray McCloud,Wide Receiver,70,190,2017,49,503,1,10.3,13,12,1,1,0,1,3.71,4.53,13,34.5,113,NA,NA,Y
Texas Tech,Big 12,Los Angeles,2018,191,6,17,Dylan Cantrell,Wide Receiver,75,226,2017,71,816,7,11.5,12,6,6,1,0,1,9.86,4.59,18,38.5,130,6.56,4.03,Y
LSU,SEC,Atlanta,2018,194,6,20,Russell Gage,Wide Receiver,72,183,2017,21,285,3,13.6,12,9,3,1,0,1,8,NA,NA,NA,NA,NA,NA,N
Notre Dame,FBS Independents,Green Bay,2018,207,6,33,Equanimeous St. Brown,Wide Receiver,77,214,2017,33,515,4,15.6,12,9,3,1,1,0,9.85,4.48,20,NA,NA,NA,NA,Y
Boise State,Mountain West,Dallas,2018,208,6,34,Cedrick Wilson,Wide Receiver,74,188,2017,83,1511,7,18.2,13,10,3,1,1,0,NA,4.55,9,37,121,6.89,4.23,Y
Miami,ACC,New England,2018,210,6,36,Braxton Berrios,Wide Receiver,69,184,2017,54,670,9,12.4,12,10,2,1,0,1,5.68,NA,11,NA,NA,NA,NA,Y
Georgia,SEC,Chicago,2018,224,7,6,Javon Wims,Wide Receiver,75,215,2017,46,724,7,15.7,13,12,1,2,1,1,5.44,4.53,NA,33.5,113,7,NA,Y
Oklahoma State,Big 12,Las Vegas,2018,228,7,10,Marcell Ateman,Wide Receiver,77,216,2017,59,1156,8,19.6,12,9,3,1,1,0,5.18,4.62,13,34,121,7.07,4.25,Y
Middle Tennessee,Conference USA,San Francisco,2018,240,7,22,Richie James,Wide Receiver,70,185,2017,31,290,3,9.4,12,6,6,1,1,0,5.99,4.48,6,35.5,122,6.87,4.16,Y
Florida State,ACC,Cincinnati,2018,253,7,35,Auden Tate,Wide Receiver,77,228,2017,40,548,10,13.7,12,6,6,1,1,0,1.82,4.68,NA,31,112,NA,NA,Y
North Carolina,ACC,Buffalo,2018,255,7,37,Austin Proehl,Wide Receiver,69,175,2017,21,337,1,16,12,3,9,0,0,0,3.62,NA,NA,NA,NA,NA,NA,N
SMU,American Athletic,Washington,2018,256,7,38,Trey Quinn,Wide Receiver,71,203,2017,114,1236,13,10.8,12,7,5,1,0,1,7.01,4.55,17,33.5,116,6.91,4.19,Y
Oklahoma,Big 12,Baltimore,2019,25,1,25,Marquise Brown,Wide Receiver,69,166,2018,75,1318,10,17.6,13,12,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,Y
Arizona State,Pac-12,New England,2019,32,1,32,N'Keal Harry,Wide Receiver,74,228,2018,73,1088,9,14.9,12,7,5,1,0,1,8.44,4.53,27,38.5,122,NA,NA,Y
South Carolina,SEC,San Francisco,2019,36,2,4,Deebo Samuel,Wide Receiver,71,214,2018,62,882,11,14.2,12,7,5,1,0,1,7.91,4.48,15,39,122,7.03,4.14,Y
Ole Miss,SEC,Tennessee,2019,51,2,19,A.J. Brown,Wide Receiver,73,226,2018,85,1355,6,15.9,12,5,7,0,0,0,8.59,4.49,19,36.5,120,NA,NA,Y
Georgia,SEC,Kansas City,2019,56,2,24,Mecole Hardman,Wide Receiver,70,187,2018,34,532,7,15.6,13,11,2,1,0,1,8.3,4.33,17,36.5,119,NA,NA,Y
Stanford,Pac-12,Philadelphia,2019,57,2,25,JJ Arcega-Whiteside,Wide Receiver,74,225,2018,62,1040,14,16.8,12,8,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,Y
Ohio State,Big Ten,Indianapolis,2019,59,2,27,Parris Campbell,Wide Receiver,72,205,2018,88,983,11,11.2,13,12,1,1,1,0,9.76,4.31,11,40,135,NA,4.03,Y
Massachusetts,FBS Independents,Arizona,2019,62,2,30,Andy Isabella,Wide Receiver,69,188,2018,101,1697,13,16.8,12,4,8,0,0,0,7.26,4.31,15,36.5,121,6.95,4.15,Y
Ole Miss,SEC,Seattle,2019,64,2,32,DK Metcalf,Wide Receiver,75,228,2018,26,569,5,21.9,12,5,7,0,0,0,9.66,4.33,27,40.5,134,7.38,4.5,Y
Toledo,Mid-American,Pittsburgh,2019,66,3,2,Diontae Johnson,Wide Receiver,71,183,2018,49,761,8,15.5,12,7,5,1,0,1,4.18,4.53,15,33.5,123,7.09,4.45,Y
Baylor,Big 12,San Francisco,2019,67,3,3,Jalen Hurd,Wide Receiver,77,226,2018,69,946,4,13.7,12,6,6,1,1,0,8.21,NA,23,NA,NA,NA,NA,Y
Ohio State,Big Ten,Washington,2019,76,3,12,Terry McLaurin,Wide Receiver,72,208,2018,35,701,11,20,13,12,1,1,1,0,9.56,4.35,18,37.5,125,7.01,4.15,Y
Notre Dame,FBS Independents,Baltimore,2019,93,3,29,Miles Boykin,Wide Receiver,76,220,2018,59,872,8,14.8,12,12,0,1,0,1,9.94,4.42,12,43.5,140,6.77,4.07,Y
Iowa State,Big 12,Arizona,2019,103,4,1,Hakeem Butler,Wide Receiver,77,227,2018,60,1318,9,22,12,8,4,1,0,1,9.47,4.48,18,36,128,NA,NA,Y
West Virginia,Big 12,Seattle,2019,120,4,18,Gary Jennings Jr.,Wide Receiver,73,214,2018,54,917,13,17,11,8,3,1,0,1,NA,4.42,20,37,127,7.32,4.15,Y
Georgia,SEC,Chicago,2019,126,4,24,Riley Ridley,Wide Receiver,73,199,2018,44,570,9,13,13,11,2,1,0,1,4.53,4.58,13,30.5,124,7.22,4.28,Y
Clemson,ACC,Las Vegas,2019,149,5,11,Hunter Renfrow,Wide Receiver,70,184,2018,49,544,1,11.1,13,13,0,2,2,0,2.91,4.59,7,35,116,6.8,4.19,Y
Auburn,SEC,New York,2019,171,5,33,Darius Slayton,Wide Receiver,73,190,2018,35,670,5,19.1,12,7,5,1,1,0,8.91,4.39,11,40.5,135,7,4.15,Y
Fresno State,Mountain West,Arizona,2019,174,6,1,Keesean Johnson,Wide Receiver,73,201,2018,95,1340,8,14.1,13,11,2,1,1,0,3.18,4.6,14,30,117,7.28,4.23,Y
Old Dominion,Conference USA,Detroit,2019,184,6,11,Travis Fulgham,Wide Receiver,75,215,2018,63,1083,9,17.2,12,4,8,0,0,0,8.01,4.58,15,36.5,126,NA,NA,Y
Colorado,Pac-12,Denver,2019,187,6,14,Juwann Winfree,Wide Receiver,75,215,2018,28,324,2,11.6,12,5,7,0,0,0,7.14,NA,NA,NA,NA,NA,NA,N
UL Monroe,Sun Belt,Atlanta,2019,203,6,30,Marcus Green,Wide Receiver,68,190,2018,50,855,8,17.1,12,6,6,0,0,0,7.22,NA,NA,NA,NA,NA,NA,N
NC State,ACC,Washington,2019,206,6,33,Kelvin Harmon,Wide Receiver,75,221,2018,74,1086,6,14.7,12,9,3,1,0,1,4.88,4.6,18,32.5,117,7.15,4.32,Y
Bowling Green,Mid-American,Tampa Bay,2019,208,6,35,Scott Miller,Wide Receiver,69,174,2018,70,1106,9,15.8,12,3,9,0,0,0,7.76,NA,NA,NA,NA,NA,NA,N
Hawai'i,Mountain West,Seattle,2019,236,7,22,John Ursua,Wide Receiver,69,178,2018,89,1343,16,15.1,13,8,5,1,0,1,6.44,NA,NA,NA,NA,NA,NA,N
Georgia,SEC,Carolina,2019,237,7,23,Terry Godwin,Wide Receiver,71,184,2018,22,373,3,17,13,11,2,1,0,1,5.26,4.55,NA,36.5,117,6.96,NA,Y
Oregon,Pac-12,Minnesota,2019,239,7,25,Dillon Mitchell,Wide Receiver,73,197,2018,75,1184,10,15.8,12,8,4,1,1,0,7.96,4.46,12,36.5,122,NA,4.29,Y
Colorado State,Mountain West,Minnesota,2019,247,7,33,Olabisi Johnson,Wide Receiver,73,204,2018,54,796,4,14.7,12,3,9,0,0,0,NA,4.51,14,38,124,6.88,4.16,Y
Alabama,SEC,Las Vegas,2020,12,1,12,Henry Ruggs III,Wide Receiver,71,188,2019,40,746,7,18.7,12,10,2,1,1,0,9.54,4.27,NA,42,131,NA,NA,Y
Alabama,SEC,Denver,2020,15,1,15,Jerry Jeudy,Wide Receiver,73,193,2019,77,1163,10,15.1,12,10,2,1,1,0,6.76,4.45,NA,35,120,NA,4.53,Y
Oklahoma,Big 12,Dallas,2020,17,1,17,CeeDee Lamb,Wide Receiver,74,198,2019,62,1327,14,21.4,13,12,1,1,0,1,7.44,4.5,11,34.5,124,NA,NA,Y
TCU,Big 12,Philadelphia,2020,21,1,21,Jalen Reagor,Wide Receiver,71,206,2019,43,611,5,14.2,12,5,7,0,0,0,6.03,4.47,17,42,138,7.31,4.46,Y
LSU,SEC,Minnesota,2020,22,1,22,Justin Jefferson,Wide Receiver,73,202,2019,111,1540,18,13.9,13,13,0,2,2,0,9.69,4.43,NA,37.5,126,NA,NA,Y
Arizona State,Pac-12,San Francisco,2020,25,1,25,Brandon Aiyuk,Wide Receiver,72,205,2019,65,1192,8,18.3,12,7,5,1,1,0,8.47,4.5,11,40,128,NA,NA,Y
Clemson,ACC,Cincinnati,2020,33,2,1,Tee Higgins,Wide Receiver,76,216,2019,59,1167,13,19.8,13,13,0,2,1,1,4.12,NA,NA,NA,NA,NA,NA,Y
USC,Pac-12,Indianapolis,2020,34,2,2,Michael Pittman Jr.,Wide Receiver,76,223,2019,101,1275,11,12.6,12,8,4,1,0,1,8.27,4.52,13,36.5,121,6.96,4.14,Y
Colorado,Pac-12,Jacksonville,2020,42,2,10,Laviska Shenault Jr.,Wide Receiver,73,227,2019,56,764,4,13.6,12,5,7,0,0,0,6.97,4.58,17,NA,NA,NA,NA,Y
Penn State,Big Ten,Denver,2020,46,2,14,KJ Hamler,Wide Receiver,69,176,2019,56,904,8,16.1,12,10,2,1,1,0,NA,NA,15,NA,NA,NA,NA,Y
Notre Dame,FBS Independents,Pittsburgh,2020,49,2,17,Chase Claypool,Wide Receiver,76,238,2019,66,1037,13,15.7,12,10,2,1,1,0,9.98,4.42,19,40.5,126,NA,NA,Y
Florida,SEC,Los Angeles,2020,57,2,25,Van Jefferson,Wide Receiver,74,200,2019,49,657,6,13.4,12,10,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,Y
Baylor,Big 12,New York,2020,59,2,27,Denzel Mims,Wide Receiver,75,207,2019,66,1020,12,15.5,13,11,2,1,0,1,9.77,4.38,16,38.5,131,6.66,4.43,Y
