name,college_team,college_conference,nfl_team,year,overall,round,pick,position,height,weight,season_before_draft,QBR,passing_completions,passing_att,completion_pct,passing_yds,passing_td,passing_int,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Tommy Stevens,Mississippi State,SEC,New Orleans,2020,240,7,26,Quarterback,77,235,2019,,97,161,0.602,1155,11,5,7.2,83,381,4,4.6,12,6,6,1,0,1,NA,NA,NA,NA,NA,NA,N
Nate Stanley,Iowa,Big Ten,Minnesota,2020,244,7,30,Quarterback,76,235,2019,67.6,237,399,0.594,2951,16,7,7.4,76,7,1,0.1,12,9,3,1,1,0,4.81,NA,28.5,108,7.26,4.48,Y
Trevor Lawrence,Clemson,ACC,Jacksonville,2021,1,1,1,Quarterback,78,213,2020,84,231,334,0.692,3153,24,5,9.4,68,203,8,3,11,10,1,1,0,1,NA,NA,NA,NA,NA,NA,Y
Zach Wilson,BYU,FBS Independents,New York,2021,2,1,2,Quarterback,74,214,2020,88.6,244,333,0.733,3651,32,3,11,69,265,10,3.8,11,10,1,1,1,0,NA,NA,NA,NA,NA,NA,Y
Justin Fields,Ohio State,Big Ten,Chicago,2021,11,1,11,Quarterback,75,227,2020,91.7,158,225,0.702,2100,22,6,9.3,81,383,5,4.7,6,6,0,2,1,1,4.45,NA,NA,NA,NA,NA,Y
Mac Jones,Alabama,SEC,New England,2021,15,1,15,Quarterback,75,217,2020,96.1,311,402,0.774,4500,41,4,11.2,35,16,1,0.5,11,11,0,2,2,0,4.72,NA,32,116,7.04,4.39,Y
Kyle Trask,Florida,SEC,Tampa Bay,2021,64,2,32,Quarterback,77,236,2020,88.5,301,437,0.689,4283,43,8,9.8,64,50,3,0.8,11,8,3,1,0,1,5.1,NA,31.5,113,7.08,4.6,Y
Kellen Mond,Texas A&M,SEC,Minnesota,2021,66,3,2,Quarterback,75,211,2020,74.9,187,296,0.632,2208,19,3,7.5,74,294,4,4,9,8,1,1,1,0,NA,NA,NA,NA,NA,NA,N
Davis Mills,Stanford,Pac-12,Houston,2021,67,3,3,Quarterback,76,217,2020,77.4,127,193,0.658,1510,7,3,7.8,30,37,3,1.2,6,4,2,0,0,0,4.82,NA,32,110,6.95,4.4,Y
Ian Book,Notre Dame,FBS Independents,New Orleans,2021,133,4,28,Quarterback,72,211,2020,83.9,228,353,0.646,2830,15,3,8,117,486,9,4.2,11,10,1,1,0,1,4.65,NA,32.5,115,6.99,4.19,Y
Sam Ehlinger,Texas,Big 12,Indianapolis,2021,218,6,34,Quarterback,73,220,2020,76.5,194,322,0.602,2566,26,5,8,113,378,8,3.3,9,6,3,1,1,0,4.84,NA,36.5,114,7.15,4.44,Y
Kenny Pickett,Pittsburgh,ACC,Pittsburgh,2022,20,1,20,Quarterback,75,217,2021,81.2,334,497,0.672,4319,42,7,8.7,97,241,5,2.5,13,11,2,1,0,1,4.73,NA,33.5,121,NA,4.29,Y
Desmond Ridder,Cincinnati,American Athletic,Atlanta,2022,74,3,10,Quarterback,75,211,2021,71.9,251,387,0.649,3334,30,8,8.6,110,355,6,3.2,13,13,0,1,0,1,4.52,NA,36,127,7.15,4.29,Y
Malik Willis,Liberty,FBS Independents,Tennessee,2022,86,3,22,Quarterback,73,219,2021,70.1,207,339,0.611,2857,27,12,8.4,197,878,13,4.5,12,7,5,1,1,0,NA,NA,NA,NA,NA,NA,Y
Matt Corral,Ole Miss,SEC,Carolina,2022,94,3,30,Quarterback,74,212,2021,80.5,262,386,0.679,3349,20,5,8.7,152,614,11,4,12,10,2,1,0,1,NA,NA,NA,NA,NA,NA,Y
Bailey Zappe,Western Kentucky,Conference USA,New England,2022,137,4,32,Quarterback,73,215,2021,78.6,475,686,0.692,5967,62,11,8.7,51,17,3,0.3,13,8,5,1,1,0,4.88,NA,30,109,7.19,4.4,Y
Sam Howell,North Carolina,ACC,Washington,2022,144,5,1,Quarterback,73,218,2021,76.1,217,347,0.625,3056,24,9,8.8,183,828,11,4.5,12,6,6,1,0,1,NA,NA,NA,NA,NA,NA,Y
Chris Oladokun,South Dakota State,MVFC,Pittsburgh,2022,241,7,20,Quarterback,74,195,2021,,18,28,0.643,224,2,0,8,2,19,1,9.5,14,11,3,1,0,1,NA,NA,NA,NA,NA,NA,N
Skylar Thompson,Kansas State,Big 12,Miami,2022,247,7,26,Quarterback,74,217,2021,76.1,162,233,0.695,2113,12,4,9.1,47,4,4,0.1,12,7,5,1,1,0,4.91,NA,31,112,7,4.28,Y
Brock Purdy,Iowa State,Big 12,San Francisco,2022,262,7,41,Quarterback,73,212,2021,70,292,407,0.717,3188,19,8,7.8,85,238,1,2.8,12,7,5,1,0,1,4.84,NA,27,NA,7.21,4.45,Y
Bryce Young,Alabama,SEC,Carolina,2023,1,1,1,Quarterback,70,204,2022,86.2,245,380,0.645,3328,32,5,8.8,49,185,4,3.8,12,10,2,1,1,0,NA,NA,NA,NA,NA,NA,Y
C.J. Stroud,Ohio State,Big Ten,Houston,2023,2,1,2,Quarterback,75,214,2022,88.9,258,389,0.663,3688,41,6,9.5,47,108,0,2.3,12,11,1,1,0,1,NA,NA,NA,NA,NA,NA,Y
Anthony Richardson,Florida,SEC,Indianapolis,2023,4,1,4,Quarterback,76,244,2022,71.2,176,327,0.538,2549,17,9,7.8,103,654,9,6.3,12,6,6,1,0,1,4.43,NA,40.5,129,NA,NA,Y
Will Levis,Kentucky,SEC,Tennessee,2023,33,2,2,Quarterback,76,229,2022,60.9,185,283,0.654,2406,19,10,8.5,73,-103,2,-1.4,12,7,5,1,0,1,NA,NA,34,124,NA,NA,Y
Hendon Hooker,Tennessee,SEC,Detroit,2023,68,3,5,Quarterback,75,217,2022,89.5,229,329,0.696,3135,27,2,9.5,104,430,5,4.1,12,10,2,1,1,0,NA,NA,NA,NA,NA,NA,Y
Jake Haener,Fresno State,Mountain West,New Orleans,2023,127,4,25,Quarterback,72,207,2022,71,251,349,0.719,2888,20,3,8.3,45,-116,2,-2.6,13,9,4,1,1,0,NA,NA,35,114,7.01,NA,Y
Stetson Bennett,Georgia,SEC,Los Angeles,2023,128,4,26,Quarterback,71,192,2022,87.8,310,455,0.681,4127,27,7,9.1,57,205,10,3.6,13,13,0,2,2,0,4.67,NA,33.5,118,NA,4.2,Y
Aidan O'Connell,Purdue,Big Ten,Las Vegas,2023,135,4,33,Quarterback,75,213,2022,71.8,319,497,0.642,3481,22,13,7,43,-81,1,-1.9,13,8,5,1,0,1,NA,NA,NA,NA,NA,NA,Y
Clayton Tune,Houston,American Athletic,Arizona,2023,139,5,5,Quarterback,75,220,2022,75.6,334,497,0.672,4074,40,10,8.2,128,547,5,4.3,12,7,5,1,1,0,4.64,NA,37.5,122,6.89,4.25,Y
Dorian Thompson-Robinson,UCLA,Pac-12,Cleveland,2023,140,5,6,Quarterback,74,203,2022,82,265,381,0.696,3153,27,10,8.3,117,647,12,5.5,12,9,3,1,0,1,4.56,NA,32.5,121,7.28,4.44,Y
Sean Clifford,Penn State,Big Ten,Green Bay,2023,149,5,15,Quarterback,NA,NA,2022,73.9,226,351,0.644,2822,24,7,8,70,185,5,2.6,12,10,2,1,1,0,NA,NA,NA,NA,NA,NA,N
Jaren Hall,BYU,FBS Independents,Minnesota,2023,164,5,30,Quarterback,72,207,2022,79.3,248,376,0.66,3171,31,6,8.4,86,346,3,4,12,7,5,1,1,0,NA,NA,NA,NA,NA,NA,Y
Tanner McKee,Stanford,Pac-12,Philadelphia,2023,188,6,11,Quarterback,78,231,2022,53.5,264,426,0.62,2947,13,8,6.9,74,-90,2,-1.2,12,3,9,0,0,0,NA,NA,33,114,7.22,4.41,Y
Max Duggan,TCU,Big 12,Los Angeles,2023,239,7,22,Quarterback,74,207,2022,78.2,267,419,0.637,3698,32,8,8.8,137,423,9,3.1,13,12,1,2,1,1,4.52,NA,30.5,116,7.26,4.45,Y
Caleb Williams,USC,Pac-12,Chicago,2024,1,1,1,Quarterback,73,214,2023,82.4,266,388,0.686,3633,30,5,9.4,99,115,11,1.2,12,7,5,1,1,0,NA,NA,NA,NA,NA,NA,Y
Jayden Daniels,LSU,SEC,Washington,2024,2,1,2,Quarterback,76,210,2023,95.6,236,327,0.722,3812,40,4,11.7,135,1134,10,8.4,12,9,3,1,1,0,NA,NA,NA,NA,NA,NA,Y
Drake Maye,North Carolina,ACC,New England,2024,3,1,3,Quarterback,76,223,2023,79.2,269,425,0.633,3608,24,9,8.5,112,449,9,4,12,8,4,1,0,1,NA,NA,NA,NA,NA,NA,Y
Michael Penix Jr.,Washington,Pac-12,Atlanta,2024,8,1,8,Quarterback,74,216,2023,84.1,363,556,0.653,4903,36,11,8.8,35,8,3,0.2,13,13,0,2,1,1,NA,NA,NA,NA,NA,NA,Y
J.J. McCarthy,Michigan,Big Ten,Minnesota,2024,10,1,10,Quarterback,75,219,2023,88.2,240,332,0.723,2991,22,4,9,64,202,3,3.2,13,13,0,2,2,0,NA,NA,NA,NA,6.82,4.23,Y
Bo Nix,Oregon,Pac-12,Denver,2024,12,1,12,Quarterback,74,214,2023,91.2,364,470,0.774,4508,45,3,9.6,54,234,6,4.3,13,11,2,1,1,0,NA,NA,NA,NA,NA,NA,Y
Spencer Rattler,South Carolina,SEC,New Orleans,2024,150,5,15,Quarterback,72,211,2023,66.1,275,399,0.689,3186,19,8,8,98,102,4,1,12,5,7,0,0,0,4.95,NA,32,108,7.21,4.37,Y
Jordan Travis,Florida State,ACC,New York,2024,171,5,36,Quarterback,73,200,2023,80.1,207,324,0.639,2745,20,2,8.5,73,176,7,2.4,13,13,0,1,0,1,NA,NA,NA,NA,NA,NA,Y
Joe Milton III,Tennessee,SEC,New England,2024,193,6,17,Quarterback,77,235,2023,70.4,230,355,0.648,2814,20,5,7.9,78,299,7,3.8,12,8,4,1,1,0,NA,NA,35,121,NA,NA,Y
Devin Leary,Kentucky,SEC,Baltimore,2024,218,6,42,Quarterback,73,215,2023,65.4,209,371,0.563,2746,25,12,7.4,42,-60,1,-1.4,12,7,5,1,0,1,NA,NA,NA,NA,NA,NA,Y
Michael Pratt,Tulane,American Athletic,Green Bay,2024,245,7,25,Quarterback,75,217,2023,65.5,185,283,0.654,2406,22,5,8.5,98,286,5,2.9,13,11,2,1,0,1,NA,NA,36,114,7.2,4.23,Y
